
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 27-Nov-2025 at 16:19:01.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    0.0000   1.0021138E+06   1.3760891E+06   1.0021138E+06   8.0372444E+05   1.1767376E+06   8.0372444E+05
    0.0125   1.0022767E+06   1.3757485E+06   1.0022707E+06   8.0365075E+05   1.1767970E+06   8.0365075E+05
    0.0250   1.0022549E+06   1.3756200E+06   1.0022470E+06   8.0357850E+05   1.1768565E+06   8.0357850E+05
    0.0375   1.0023107E+06   1.3754049E+06   1.0022946E+06   8.0350700E+05   1.1769162E+06   8.0350700E+05
    0.0500   1.0023386E+06   1.3751915E+06   1.0023130E+06   8.0343594E+05   1.1769759E+06   8.0343594E+05
    0.0625   1.0023549E+06   1.3749909E+06   1.0023191E+06   8.0336525E+05   1.1770354E+06   8.0336525E+05
    0.0750   1.0023559E+06   1.3748014E+06   1.0023120E+06   8.0329544E+05   1.1770948E+06   8.0329544E+05
    0.0875   1.0023444E+06   1.3746239E+06   1.0022974E+06   8.0322756E+05   1.1771540E+06   8.0322756E+05
    0.1000   1.0023224E+06   1.3744579E+06   1.0022809E+06   8.0316275E+05   1.1772130E+06   8.0316275E+05
    0.1125   1.0022925E+06   1.3743024E+06   1.0022680E+06   8.0310212E+05   1.1772718E+06   8.0310212E+05
    0.1250   1.0022572E+06   1.3741554E+06   1.0022632E+06   8.0304625E+05   1.1773302E+06   8.0304619E+05
    0.1375   1.0022192E+06   1.3740151E+06   1.0022698E+06   8.0299506E+05   1.1773886E+06   8.0299506E+05
    0.1500   1.0021814E+06   1.3738786E+06   1.0022898E+06   8.0294812E+05   1.1774466E+06   8.0294812E+05
    0.1625   1.0021458E+06   1.3737455E+06   1.0023229E+06   8.0290450E+05   1.1775036E+06   8.0290444E+05
    0.1750   1.0021152E+06   1.3736132E+06   1.0023681E+06   8.0286325E+05   1.1775585E+06   8.0286319E+05
    0.1875   1.0020914E+06   1.3734812E+06   1.0024229E+06   8.0282381E+05   1.1776095E+06   8.0282356E+05
    0.2000   1.0020761E+06   1.3733492E+06   1.0024845E+06   8.0278612E+05   1.1776541E+06   8.0278562E+05
    0.2125   1.0020704E+06   1.3732175E+06   1.0025496E+06   8.0275081E+05   1.1776888E+06   8.0274988E+05
    0.2250   1.0020746E+06   1.3730869E+06   1.0026152E+06   8.0271950E+05   1.1777094E+06   8.0271769E+05
    0.2375   1.0020877E+06   1.3729588E+06   1.0026787E+06   8.0269406E+05   1.1777114E+06   8.0269112E+05
    0.2500   1.0021082E+06   1.3728350E+06   1.0027382E+06   8.0267706E+05   1.1776902E+06   8.0267250E+05
    0.2625   1.0021336E+06   1.3727179E+06   1.0027926E+06   8.0267081E+05   1.1776419E+06   8.0266406E+05
    0.2750   1.0021611E+06   1.3726081E+06   1.0028419E+06   8.0267744E+05   1.1775632E+06   8.0266794E+05
    0.2875   1.0021869E+06   1.3725096E+06   1.0028858E+06   8.0269825E+05   1.1774522E+06   8.0268588E+05
    0.3000   1.0022079E+06   1.3724231E+06   1.0029253E+06   8.0273400E+05   1.1773082E+06   8.0271869E+05
    0.3125   1.0022210E+06   1.3723505E+06   1.0029609E+06   8.0278425E+05   1.1771320E+06   8.0276675E+05
    0.3250   1.0022241E+06   1.3722928E+06   1.0029934E+06   8.0284788E+05   1.1769256E+06   8.0282975E+05
    0.3375   1.0022161E+06   1.3722501E+06   1.0030230E+06   8.0292319E+05   1.1766921E+06   8.0290694E+05
    0.3500   1.0021971E+06   1.3722228E+06   1.0030498E+06   8.0300775E+05   1.1764352E+06   8.0299725E+05
    0.3625   1.0021681E+06   1.3722098E+06   1.0030731E+06   8.0309900E+05   1.1761592E+06   8.0309944E+05
    0.3750   1.0021314E+06   1.3722100E+06   1.0030921E+06   8.0319444E+05   1.1758682E+06   8.0321219E+05
    0.3875   1.0020898E+06   1.3722220E+06   1.0031052E+06   8.0329169E+05   1.1755666E+06   8.0333438E+05
    0.4000   1.0020472E+06   1.3722428E+06   1.0031121E+06   8.0338881E+05   1.1752579E+06   8.0346494E+05
    0.4125   1.0020061E+06   1.3722719E+06   1.0031102E+06   8.0348425E+05   1.1749454E+06   8.0360281E+05
    0.4250   1.0019696E+06   1.3723069E+06   1.0030992E+06   8.0357712E+05   1.1746319E+06   8.0374725E+05
    0.4375   1.0019398E+06   1.3723462E+06   1.0030781E+06   8.0366688E+05   1.1743196E+06   8.0389731E+05
    0.4500   1.0019179E+06   1.3723889E+06   1.0030466E+06   8.0375356E+05   1.1740104E+06   8.0405200E+05
    0.4625   1.0019041E+06   1.3724336E+06   1.0030051E+06   8.0383744E+05   1.1737055E+06   8.0421038E+05
    0.4750   1.0018978E+06   1.3724800E+06   1.0029544E+06   8.0391888E+05   1.1734064E+06   8.0437131E+05
    0.4875   1.0018974E+06   1.3725275E+06   1.0028957E+06   8.0399850E+05   1.1731140E+06   8.0453356E+05
    0.5000   1.0019011E+06   1.3725761E+06   1.0028305E+06   8.0407662E+05   1.1728295E+06   8.0469581E+05
    0.5125   1.0019065E+06   1.3726256E+06   1.0027604E+06   8.0415350E+05   1.1725539E+06   8.0485681E+05
    0.5250   1.0019122E+06   1.3726748E+06   1.0026876E+06   8.0422888E+05   1.1722884E+06   8.0501512E+05
    0.5375   1.0019156E+06   1.3727252E+06   1.0026126E+06   8.0430250E+05   1.1720345E+06   8.0516950E+05
    0.5500   1.0019157E+06   1.3727758E+06   1.0025369E+06   8.0437356E+05   1.1717934E+06   8.0531869E+05
    0.5625   1.0019116E+06   1.3728265E+06   1.0024612E+06   8.0444100E+05   1.1715668E+06   8.0546169E+05
    0.5750   1.0019031E+06   1.3728771E+06   1.0023859E+06   8.0450369E+05   1.1713560E+06   8.0559738E+05
    0.5875   1.0018904E+06   1.3729271E+06   1.0023112E+06   8.0456044E+05   1.1711625E+06   8.0572500E+05
    0.6000   1.0018741E+06   1.3729758E+06   1.0022373E+06   8.0461006E+05   1.1709876E+06   8.0584369E+05
    0.6125   1.0018549E+06   1.3730224E+06   1.0021644E+06   8.0465169E+05   1.1708324E+06   8.0595275E+05
    0.6250   1.0018338E+06   1.3730660E+06   1.0020929E+06   8.0468456E+05   1.1706974E+06   8.0605144E+05
    0.6375   1.0018114E+06   1.3731059E+06   1.0020233E+06   8.0470850E+05   1.1705834E+06   8.0613900E+05
    0.6500   1.0017888E+06   1.3731399E+06   1.0019571E+06   8.0472350E+05   1.1704905E+06   8.0621475E+05
    0.6625   1.0017652E+06   1.3731696E+06   1.0018941E+06   8.0473012E+05   1.1704185E+06   8.0627794E+05
    0.6750   1.0017408E+06   1.3731936E+06   1.0018361E+06   8.0472919E+05   1.1703670E+06   8.0632781E+05
    0.6875   1.0017149E+06   1.3732128E+06   1.0017835E+06   8.0472175E+05   1.1703355E+06   8.0636356E+05
    0.7000   1.0016867E+06   1.3732279E+06   1.0017370E+06   8.0470906E+05   1.1703232E+06   8.0638462E+05
    0.7125   1.0016551E+06   1.3732405E+06   1.0016966E+06   8.0469225E+05   1.1703292E+06   8.0639044E+05
    0.7250   1.0016194E+06   1.3732522E+06   1.0016622E+06   8.0467250E+05   1.1703526E+06   8.0638050E+05
    0.7375   1.0015785E+06   1.3732655E+06   1.0016328E+06   8.0465069E+05   1.1703926E+06   8.0635462E+05
    0.7500   1.0015315E+06   1.3732832E+06   1.0016067E+06   8.0462750E+05   1.1704485E+06   8.0631269E+05
    0.7625   1.0014779E+06   1.3733081E+06   1.0015824E+06   8.0460312E+05   1.1705194E+06   8.0625481E+05
    0.7750   1.0014178E+06   1.3733419E+06   1.0015581E+06   8.0457756E+05   1.1706050E+06   8.0618138E+05
    0.7875   1.0013497E+06   1.3733896E+06   1.0015307E+06   8.0455050E+05   1.1707049E+06   8.0609288E+05
    0.8000   1.0012738E+06   1.3734526E+06   1.0014984E+06   8.0452125E+05   1.1708188E+06   8.0598981E+05
    0.8125   1.0011893E+06   1.3735344E+06   1.0014592E+06   8.0448894E+05   1.1709465E+06   8.0587306E+05
    0.8250   1.0010958E+06   1.3736366E+06   1.0014113E+06   8.0445269E+05   1.1710880E+06   8.0574344E+05
    0.8375   1.0009924E+06   1.3737615E+06   1.0013537E+06   8.0441144E+05   1.1712431E+06   8.0560175E+05
    0.8500   1.0008786E+06   1.3739098E+06   1.0012857E+06   8.0436431E+05   1.1714118E+06   8.0544900E+05
    0.8625   1.0007539E+06   1.3740821E+06   1.0012072E+06   8.0431044E+05   1.1715936E+06   8.0528612E+05
    0.8750   1.0006177E+06   1.3742788E+06   1.0011185E+06   8.0424906E+05   1.1717884E+06   8.0511412E+05
    0.8875   1.0004698E+06   1.3744989E+06   1.0010201E+06   8.0417975E+05   1.1719956E+06   8.0493406E+05
    0.9000   1.0003109E+06   1.3747404E+06   1.0009129E+06   8.0410200E+05   1.1722146E+06   8.0474694E+05
    0.9125   1.0001407E+06   1.3750041E+06   1.0007966E+06   8.0401569E+05   1.1724449E+06   8.0455381E+05
    0.9250   9.9996069E+05   1.3752875E+06   1.0006718E+06   8.0392069E+05   1.1726855E+06   8.0435575E+05
    0.9375   9.9977181E+05   1.3755901E+06   1.0005376E+06   8.0381688E+05   1.1729358E+06   8.0415381E+05
    0.9500   9.9957581E+05   1.3759105E+06   1.0003934E+06   8.0370444E+05   1.1731949E+06   8.0394894E+05
    0.9625   9.9937438E+05   1.3762481E+06   1.0002378E+06   8.0358331E+05   1.1734625E+06   8.0374200E+05
    0.9750   9.9916938E+05   1.3766026E+06   1.0000689E+06   8.0345356E+05   1.1737381E+06   8.0353381E+05
    0.9875   9.9896250E+05   1.3769735E+06   9.9988512E+05   8.0331519E+05   1.1740216E+06   8.0332488E+05
    1.0000   9.9875512E+05   1.3773612E+06   9.9968438E+05   8.0316812E+05   1.1743130E+06   8.0311562E+05
    1.0125   9.9854838E+05   1.3777662E+06   9.9946500E+05   8.0301231E+05   1.1746130E+06   8.0290619E+05
    1.0250   9.9834338E+05   1.3781876E+06   9.9922638E+05   8.0284744E+05   1.1749220E+06   8.0269638E+05
    1.0375   9.9813919E+05   1.3786276E+06   9.9896662E+05   8.0267338E+05   1.1752414E+06   8.0248588E+05
    1.0500   9.9793594E+05   1.3790860E+06   9.9868612E+05   8.0248981E+05   1.1755721E+06   8.0227412E+05
    1.0625   9.9773244E+05   1.3795634E+06   9.9838494E+05   8.0229638E+05   1.1759158E+06   8.0206044E+05
